id;account_name;account_number;bsb
1;Savings Account;bus French Guiana;Home generating Games
2;Investment Account;compressing Steel;withdrawal
3;Credit Card Account;User-friendly Toys;application Skyway
4;Checking Account;Beauty Unbranded Plastic Tuna;Berkshire
5;Auto Loan Account;cross-platform;purple Licensed Fresh Bacon
6;Credit Card Account;New Hampshire Personal Loan Account Berkshire;Utah
7;Savings Account;harness olive;New Jersey programming
8;Home Loan Account;payment Mall;pixel Assimilated
9;Auto Loan Account;Direct;XSS utilize Bahamian Dollar
10;Home Loan Account;static Investment Account withdrawal;approach grey Coordinator
